id,title,price,town,promo_price,url
3244569,Конструктор LEGO Super Mario Приключения вместе с Марио 71360,4 999,Москва и Московская область,3 249,https://www.detmir.ru/product/index/id/3244569/
3430417,Конструктор LEGO Technic McLaren Senna GTR 42123,4 699,Москва и Московская область,2 879,https://www.detmir.ru/product/index/id/3430417/
3092802,Конструктор LEGO DUPLO Town Поезд на паровой тяге (10874),5 499,Москва и Московская область,3 569,https://www.detmir.ru/product/index/id/3092802/
3142049,Конструктор LEGO Technic ДУ Скоростной вездеход 42095,6 999,Москва и Московская область,4 479,https://www.detmir.ru/product/index/id/3142049/
2497101,Конструктор LEGO City Police Мобильный командный центр (60139),3 299,Москва и Московская область,2 019,https://www.detmir.ru/product/index/id/2497101/
3597035,Конструктор LEGO Harry Potter Хогвартс: Тайная комната 76389,13 499,Москва и Московская область,8 439,https://www.detmir.ru/product/index/id/3597035/
3596925,Конструктор LEGO Super Mario Стартовый набор Приключения вместе с Луиджи 71387,4 999,Москва и Московская область,3 109,https://www.detmir.ru/product/index/id/3596925/
3405652,Конструктор LEGO Technic Monster Jam Grave Digger 42118,1 699,Москва и Московская область,1 099,https://www.detmir.ru/product/index/id/3405652/
3200884,Конструктор LEGO Technic Land Rover Defender 42110,16 999,Москва и Московская область,10 199,https://www.detmir.ru/product/index/id/3200884/
3226567,Конструктор LEGO DUPLO Town Дом модульный 10929,4 999,Москва и Московская область,3 249,https://www.detmir.ru/product/index/id/3226567/
3405653,Конструктор LEGO Technic Monster Jam Max-D 42119,1 699,Москва и Московская область,1 049,https://www.detmir.ru/product/index/id/3405653/
3430415,Конструктор LEGO Technic Jeep Wrangler 42122,4 699,Москва и Московская область,2 989,https://www.detmir.ru/product/index/id/3430415/
3244534,Конструктор LEGO City Исследовательское судно 60266,12 499,Москва и Московская область,7 499,https://www.detmir.ru/product/index/id/3244534/
3092803,Конструктор LEGO DUPLO Town Грузовой поезд (10875),11 499,Москва и Московская область,6 899,https://www.detmir.ru/product/index/id/3092803/
3596845,Конструктор LEGO Technic Грузовой эвакуатор 42128,13 999,Москва и Московская область,10 419,https://www.detmir.ru/product/index/id/3596845/
3226596,Конструктор LEGO Friends Парикмахерская Хартлейк Сити 41391,1 699,Москва и Московская область,1 079,https://www.detmir.ru/product/index/id/3226596/
3405639,Конструктор LEGO Minecraft Дом-свинья 21170,4 699,Москва и Московская область,2 899,https://www.detmir.ru/product/index/id/3405639/
3187781,Конструктор LEGO Minecraft Шахта крипера 21155,7 499,Москва и Московская область,5 779,https://www.detmir.ru/product/index/id/3187781/
3099182,Конструктор LEGO City Trains Товарный поезд 60198,16 999,Москва и Московская область,10 479,https://www.detmir.ru/product/index/id/3099182/
3226586,Конструктор LEGO Minecraft Патруль разбойников 21160,6 499,Москва и Московская область,4 219,https://www.detmir.ru/product/index/id/3226586/
